|kana|kanji|word_type|german|english|phon_row|level
0|は|歯|(名)|der Zahn|tooth|h|jlpt-1
1|パーティー||(名)|die Party|party|h|jlpt-1
2|はい|||Ja|yes|h|jlpt-1
3|~はい|~杯 |(尾)|Zählwort für Tassen|counter for cupfuls|h|jlpt-1
4|はいざら|灰皿 |(名)|der Aschenbecher|ashtray|h|jlpt-1
5|はいる|入る |(動I)|hineingehen; einbrechen; sich einschreiben; beinhalten|to enter/to break into/to join/to enroll/to contain/to hold/to accommodate/to have (an income of)|h|jlpt-1
6|はがき|葉書 |(名)|die Postkarte|postcard|h|jlpt-1
7|はく||(動I)|Hosen anziehen|to wear/to put on (a sword)|h|jlpt-1
8|はこ|箱 |(名)|die Kiste|box|h|jlpt-1
9|はし|橋 |(名)|die Brücke|bridge|h|jlpt-1
10|はし||(名)|die Esstäbchen|chopsticks|h|jlpt-1
11|はじまる|始まる |(動I)|anfangen; beginnen|to begin|h|jlpt-1
12|はじめに|初めに ||die Einleitung; zu Anfang|to begin with/first of all|h|jlpt-1
13|はじめて|初めて ||zum ersten Mal|for the first time|h|jlpt-1
14|はしる|走る ||rennen|to run|h|jlpt-1
15|バス||(名)|der Bus;das Bad;der Bass|bus/bath/bass|h|jlpt-1
16|バター||(名)|die Butter|butter|h|jlpt-1
17|はたち|二十歳 |(名)|zwanzig Jahre alt|20 years old/20th year|h|jlpt-1
18|はたらく|働く |(動I)|arbeiten; tun; machen|to work/to labor/to do/to act/to commit/to practise/to work on/to come into play/to be conjugated/to reduce the price|h|jlpt-1
19|はち|八 |(名)|acht|eight|h|jlpt-1
20|はつか|二十日 |(名)|zwanzig Tage|twenty days/twentieth (day of the month)|h|jlpt-1
21|はな|花 |(名)|Blume|flower|h|jlpt-1
22|はな|鼻 |(名)|Nase|nose|h|jlpt-1
23|はなし|話 |(名)|Geschichte;Gespräch;Unterhaltung|talk/speech/chat/story/conversation|h|jlpt-1
24|はなす|話す |(動I)|sprechen|to speak|h|jlpt-1
25|はは|母 |(名)|Mutter|mother|h|jlpt-1
26|はやい|早い |(形)|früh|early|h|jlpt-1
27|はやい|速い |(形)|schnell|quick/fast/swift|h|jlpt-1
28|はる|春 ||Frühling|spring|h|jlpt-1
29|はる|貼る |(動I)|einfügen;ankleben|to stick/to paste|h|jlpt-1
30|はれる|晴れる||aufklaren|to be sunny/to clear away/to stop raining|h|jlpt-1
31|はん|半 |(名)|halb|half|h|jlpt-1
32|ばん|晩 |(名)|Abend|evening|h|jlpt-1
33|～ばん|～番 |(尾)|Nummer|number ～|h|jlpt-1
34|パン||(名)|Brot|bread/panning|h|jlpt-1
35|ハンカチ||(名)|Taschentuch|handkerchief|h|jlpt-1
36|ばんごう|番号 |(名)|Nummer|number/series of digits|h|jlpt-1
37|ばんごはん|晩御飯 |(名)|Abendessen|dinner/evening meal|h|jlpt-1
38|はんぶん|半分 |(名)|halbe Minute|half minute|h|jlpt-1
39|ひがし|東 |(名)|Osten|east|h|jlpt-1
40|~ひき|~匹 |(尾)|Zählwort für kleine Tiere|small animal counter|h|jlpt-1
41|ひく|引く|(動I)|abziehe;ziehen;(Saiteninstrument) spielen|minus/to pull/to play (stringed instr.)|h|jlpt-1
42|ひく|弾く|(動I)|(Instrument) spielen|to play (piano, guitar)|h|jlpt-1
43|ひくい|低い |(形)|kurz;niedrig;tief|short/low/humble/low (voice)|h|jlpt-1
44|ひこうき|飛行機 |(名)|Flugzeug|airplane|h|jlpt-1
45|ひだり|左 |(名)|links|left hand side|h|jlpt-1
46|ひと|人 |(名)|Mensch;Person|man/person/human being/mankind/people/character/personality/true man/man of talent/adult/other people/messenger/visitor|h|jlpt-1
47|ひとつ|一つ |(名)|eins|one|h|jlpt-1
48|ひとつき|一月 |(名)|ein Monat|one month|h|jlpt-1
49|ひとり|一人 |(名)|eine Person|one person|h|jlpt-1
50|ひま|暇 |(名)|Freizeit|(1) free time/leisure/leave/spare time (2) farewell|h|jlpt-1
51|ひゃく|百 |(名)|einhundert|100/hundred|h|jlpt-1
52|びょういん|病院 |(名)|Krankenhaus|hospital|h|jlpt-1
53|びょうき|病気 |(名)|Krankheit|illness/disease/sickness|h|jlpt-1
54|ひらがな|平仮名 |(名)|Hiragana-Silbenschrift|"hiragana/47 syllables/the ""cursive"" syllabary"|h|jlpt-1
55|ひる|昼 |(名)|Mittagszeit|noon/daytime|h|jlpt-1
56|ひるごはん|昼御飯 |(名)|Mittagessen|lunch/midday meal|h|jlpt-1
57|ひろい|広い |(形)|weit;geräumig|spacious/vast/wide|h|jlpt-1
58|フィルム||(名)|Film|film (roll of)|h|jlpt-1
59|ふうとう|封筒 |(名)|Briefumschlag|envelope|h|jlpt-1
60|プール||(名)|Pool|swimming pool|h|jlpt-1
61|フォーク||(名)|Gabel|fork/folk|h|jlpt-1
62|ふく|吹く|(動I)|blasen des Windes|(1) to blow (e.g. wind) (2) to emit/to spout|h|jlpt-1
63|ふく|服 |(名)|Kleidung|clothes|h|jlpt-1
64|ふたつ|二つ |(名)|zwei|two|h|jlpt-1
65|ぶたにく|豚肉 |(名)|Schweinefleisch|pork|h|jlpt-1
66|ふたり|二人 |(名)|zwei Personen;Paar|two persons/two people/pair/couple|h|jlpt-1
67|ふつか|二日 |(名)|zweiter Tag |second day of the month/two days|h|jlpt-1
68|ふとい|太い |(形)|dick;fett|fat/thick|h|jlpt-1
69|ふゆ|冬 |(名)|Winter|winter|h|jlpt-1
70|ふる|降る|(動I)|fallen (von Regen)|to precipitate/to fall (e.g. rain)|h|jlpt-1
71|ふるい|古い |(形)|alt;antik|old (not of person)/aged/ancient/antiquated/stale/threadbare/outmoded/obsolete article|h|jlpt-1
72|ふろ|風呂|(名)|Bad|bath|h|jlpt-1
73|~ふん|~分 |(尾)|Minute|~ minutes|h|jlpt-1
74|へた|下手|(形)|ungeschickt;schlecht|unskillful, poor, awkward|h|jlpt-1
75|ベッド||(名)|Bett|bed|h|jlpt-1
76|へや|部屋|(名)|Raum|room|h|jlpt-1
77|へん|辺 |(名)|Areal;Nachbarschaft|area, vicinity|h|jlpt-1
78|ペン||(名)|Stift|pen|h|jlpt-1
79|べんきょう|勉強 |(名)|Studium|study, diligence, discount, reduction|h|jlpt-1
80|べんり|便利 |(形)|bequem|convenient, handy, useful|h|jlpt-1
81|ほう （比較を表す）||(動I)|Vergleich|divide|h|jlpt-1
82|ぼうし|帽子 |(名)|Hut|hat|h|jlpt-1
83|ボールペン||(名)|Kugelschreiber|ballpoint pen|h|jlpt-1
84|ほか|外 |(名)|andere;der Rest|other place/the rest|h|jlpt-1
85|ポケット||(名)|Tasche (Kleidung)|pocket|h|jlpt-1
86|ほしい|欲しい|(形)|wollen; brauchen; erwünscht|wanted/wished for/in need of/desired|h|jlpt-1
87|ほそい|細い |(形)|dünn;schlank|thin/slender/fine|h|jlpt-1
88|ボタン||(名)|Knopf|button|h|jlpt-1
89|ホテル||(名)|Hotel|hotel|h|jlpt-1
90|ほん|本 |(名)|Buch|book|h|jlpt-1
91|~ほん|~本 |(尾)|Zählwort für zylindrische Gegenstände|counter for long cylindrical things|h|jlpt-1
92|ほんだな|本棚 |(名)|Buchregal|bookshelves|h|jlpt-1
93|ほんとうに|本当に|(副)|wirklich|really/truly|h|jlpt-1
94|~かい|~回|(尾)|~ mal|~th times|k|jlpt-1
95|~かい|~階|(尾)|~ Etage|~th floor|k|jlpt-1
96|がいこく|外国|(名)|Ausland|foreign country|k|jlpt-1
97|がいこくじん|外国人|(名)|Ausländer|foreigner|k|jlpt-1
98|かいしゃ|会社|(名)|Firma|corporation|k|jlpt-1
99|かいだん|階段|(名)|Treppe|stairs|k|jlpt-1
100|かいもの|買い物|(名)|einkaufen|shopping|k|jlpt-1
101|かう|買う|(動I)|kaufen|buy, shop, purchase|k|jlpt-1
102|かえす|返す |(動I)|zurückkommen;umdrehen|return, turn over|k|jlpt-1
103|かえる|帰る|(動I)|zurückkehren|go back, return|k|jlpt-1
104|かお|顔|(名)|Gesicht|face|k|jlpt-1
105|かかる （時間がかかる）||(動I)|nehmen;erfordern|take/require (time/money/resource)|k|jlpt-1
106|かぎ||(名)|Schlüssel|key|k|jlpt-1
107|かく|書く|(動I)|schreiben|write|k|jlpt-1
108|がくせい|学生|(名)|Student; Schüler|student|k|jlpt-1
109|~かげつ|~か月|(尾)|~ Monate|~months|k|jlpt-1
110|かける （眼鏡をかける）|||Brille tragen|wear (glasses)|k|jlpt-1
111|かける （電話をかける）|||anrufen|make a phone call|k|jlpt-1
112|かさ|傘|(名)|Regenschirm|umbrella|k|jlpt-1
113|かす|貸す|(動I)|mieten|rent, lease|k|jlpt-1
114|かぜ|風|(名)|Wind;Brise|wind, breeze|k|jlpt-1
115|かぞく|家族|(名)|Familie|family|k|jlpt-1
116|かた|（この方）||Richtung;Weg;Person|direction, way, person|k|jlpt-1
117|かたかな|片仮名 |(名)|Katakana-Silbenschrift|Katakana|k|jlpt-1
118|~がつ|~月 |(尾)|~ Monat|~month|k|jlpt-1
119|がっこう|学校 |(名)|Schule|school|k|jlpt-1
120|かど|角 |(名)|Ecke|corner|k|jlpt-1
121|かない|家内 |(名)|Ehefrau|wife|k|jlpt-1
122|かばん||(名)|Tasche|bag|k|jlpt-1
123|かびん|花瓶 |(名)|Vase|vase|k|jlpt-1
124|かぶる||(動I)|Kofbedeckung tragen|wear (hat, cap, mask, helmet)|k|jlpt-1
125|かみ|紙 |(名)|Papier|paper|k|jlpt-1
126|カメラ||(名)|Kamera|camera|k|jlpt-1
127|かようび|火曜日 |(名)|Dienstag|Tuesday|k|jlpt-1
128|からい|辛い |(形)|heiß; würzig|hot, spicy|k|jlpt-1
